soc,lmp,a,total_rwd
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,2,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,1,-3.44e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,0,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,2,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,1,-3.93e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,0,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
0.00,0.00,1,-4.42e+04
